word,keyword,spiderId,originText,Relevance,Importance,Sentiment,Dimension,Reason
海南产,白糖罂荔枝,1,"数分享
品种：白糖罂
类目：干荔枝（无水泡，无防腐处理）
品级：优品
产地：海南
运输：空运??（当天采摘空运直达上海）
净重：3斤装
	
#白糖罂荔枝[话题]# #荔枝[话题]# #最爱吃的水果[话题]# #应季水果[话题]# #新鲜水果[话题]# #上海[话题]# #上海美食[话题]# #大爱水果季[话题]# #当我们宅在家[话题]# #五一吃什么[话题]#
已经在上海了吗？
你好 荔枝什么时候上市？
已经到上海了吗
有联系方式吗",10,8,9,产地,用户关注荔枝的产地是否是海南。
新鲜,白糖罂荔枝,1,"数分享
品种：白糖罂
类目：干荔枝（无水泡，无防腐处理）
品级：优品
产地：海南
运输：空运??（当天采摘空运直达上海）
净重：3斤装
	
#白糖罂荔枝[话题]# #荔枝[话题]# #最爱吃的水果[话题]# #应季水果[话题]# #新鲜水果[话题]# #上海[话题]# #上海美食[话题]# #大爱水果季[话题]# #当我们宅在家[话题]# #五一吃什么[话题]#
已经在上海了吗？
你好 荔枝什么时候上市？
已经到上海了吗
有联系方式吗",10,8,9,产地,用户关注荔枝的产地是否是海南。
白糖罂,白糖罂荔枝,1,"数分享
品种：白糖罂
类目：干荔枝（无水泡，无防腐处理）
品级：优品
产地：海南
运输：空运??（当天采摘空运直达上海）
净重：3斤装
	
#白糖罂荔枝[话题]# #荔枝[话题]# #最爱吃的水果[话题]# #应季水果[话题]# #新鲜水果[话题]# #上海[话题]# #上海美食[话题]# #大爱水果季[话题]# #当我们宅在家[话题]# #五一吃什么[话题]#
已经在上海了吗？
你好 荔枝什么时候上市？
已经到上海了吗
有联系方式吗",9,7,8,品种,用户关注荔枝的品种是否是白糖罂。
优品,白糖罂荔枝,1,"数分享
品种：白糖罂
类目：干荔枝（无水泡，无防腐处理）
品级：优品
产地：海南
运输：空运??（当天采摘空运直达上海）
净重：3斤装
	
#白糖罂荔枝[话题]# #荔枝[话题]# #最爱吃的水果[话题]# #应季水果[话题]# #新鲜水果[话题]# #上海[话题]# #上海美食[话题]# #大爱水果季[话题]# #当我们宅在家[话题]# #五一吃什么[话题]#
已经在上海了吗？
你好 荔枝什么时候上市？
已经到上海了吗
有联系方式吗",8,6,7,品级,用户关注荔枝的品级是否是优品。
3斤装,白糖罂荔枝,1,"数分享
品种：白糖罂
类目：干荔枝（无水泡，无防腐处理）
品级：优品
产地：海南
运输：空运??（当天采摘空运直达上海）
净重：3斤装
	
#白糖罂荔枝[话题]# #荔枝[话题]# #最爱吃的水果[话题]# #应季水果[话题]# #新鲜水果[话题]# #上海[话题]# #上海美食[话题]# #大爱水果季[话题]# #当我们宅在家[话题]# #五一吃什么[话题]#
已经在上海了吗？
你好 荔枝什么时候上市？
已经到上海了吗
有联系方式吗",7,5,6,净重,用户关注荔枝的净重是否为3斤装。
空运,白糖罂荔枝,1,"数分享
品种：白糖罂
类目：干荔枝（无水泡，无防腐处理）
品级：优品
产地：海南
运输：空运??（当天采摘空运直达上海）
净重：3斤装
	
#白糖罂荔枝[话题]# #荔枝[话题]# #最爱吃的水果[话题]# #应季水果[话题]# #新鲜水果[话题]# #上海[话题]# #上海美食[话题]# #大爱水果季[话题]# #当我们宅在家[话题]# #五一吃什么[话题]#
已经在上海了吗？
你好 荔枝什么时候上市？
已经到上海了吗
有联系方式吗",6,4,5,运输,用户关注荔枝的运输方式是否为空运。
口感鲜美,白糖罂荔枝,1,"夏天到了，除了要防晒、美容，当然还有尝试各种美食啦！今天我要为大家介绍一款超级适合这个季节的小水果——白糖罂荔枝！这个口感鲜美、可口爽甜的小水果简直是夏天必备呢！????
相信很多小仙女小哥哥们都已经尝过这个水果，但是今天我要介绍的是品种为白糖罂荔枝，相比其他种类，它的特别之处就在于颜色更加明亮，口感更加细腻，果皮全红，果子大，果核适中，果肉厚，汁水足，味道甜，是荔枝品种中，甜度、口感与性价比高的一个品种。每次看到它，我都忍不住要动手尝一口，结果发现真的太好吃了！??
白糖罂荔枝不仅口感棒，而且颜值也非常高哦！它的果实表面布满了犹如珍珠般的细小颗粒，让人看起来就有一种清凉的感觉。而且它的果肉白嫩细腻，汁水充足，让人忍不住想吃上好几个。这样清新美味的小水果，真的让人欲罢不能。????
总之，白糖罂荔枝是夏天必备的小水果，让你爱上这个季节。如果你也喜欢它，千万不要吝啬你的小爱心和转发哦！????#妃子笑荔枝[话题]# #最爱吃的水果[话题]# #荔枝[话题]# #白糖罂[话题]# #白糖罂荔枝[话题]# #海南白糖罂[话题]# #荔枝[话题]# #甜度[话题]#",10,9,8,口感,白糖罂荔枝的口感更加细腻，汁水足。
可口爽甜,白糖罂荔枝,1,"夏天到了，除了要防晒、美容，当然还有尝试各种美食啦！今天我要为大家介绍一款超级适合这个季节的小水果——白糖罂荔枝！这个口感鲜美、可口爽甜的小水果简直是夏天必备呢！????
相信很多小仙女小哥哥们都已经尝过这个水果，但是今天我要介绍的是品种为白糖罂荔枝，相比其他种类，它的特别之处就在于颜色更加明亮，口感更加细腻，果皮全红，果子大，果核适中，果肉厚，汁水足，味道甜，是荔枝品种中，甜度、口感与性价比高的一个品种。每次看到它，我都忍不住要动手尝一口，结果发现真的太好吃了！??
白糖罂荔枝不仅口感棒，而且颜值也非常高哦！它的果实表面布满了犹如珍珠般的细小颗粒，让人看起来就有一种清凉的感觉。而且它的果肉白嫩细腻，汁水充足，让人忍不住想吃上好几个。这样清新美味的小水果，真的让人欲罢不能。????
总之，白糖罂荔枝是夏天必备的小水果，让你爱上这个季节。如果你也喜欢它，千万不要吝啬你的小爱心和转发哦！????#妃子笑荔枝[话题]# #最爱吃的水果[话题]# #荔枝[话题]# #白糖罂[话题]# #白糖罂荔枝[话题]# #海南白糖罂[话题]# #荔枝[话题]# #甜度[话题]#",10,9,8,口感,白糖罂荔枝的口感更加细腻，汁水足。
味道甜,白糖罂荔枝,1,"夏天到了，除了要防晒、美容，当然还有尝试各种美食啦！今天我要为大家介绍一款超级适合这个季节的小水果——白糖罂荔枝！这个口感鲜美、可口爽甜的小水果简直是夏天必备呢！????
相信很多小仙女小哥哥们都已经尝过这个水果，但是今天我要介绍的是品种为白糖罂荔枝，相比其他种类，它的特别之处就在于颜色更加明亮，口感更加细腻，果皮全红，果子大，果核适中，果肉厚，汁水足，味道甜，是荔枝品种中，甜度、口感与性价比高的一个品种。每次看到它，我都忍不住要动手尝一口，结果发现真的太好吃了！??
白糖罂荔枝不仅口感棒，而且颜值也非常高哦！它的果实表面布满了犹如珍珠般的细小颗粒，让人看起来就有一种清凉的感觉。而且它的果肉白嫩细腻，汁水充足，让人忍不住想吃上好几个。这样清新美味的小水果，真的让人欲罢不能。????
总之，白糖罂荔枝是夏天必备的小水果，让你爱上这个季节。如果你也喜欢它，千万不要吝啬你的小爱心和转发哦！????#妃子笑荔枝[话题]# #最爱吃的水果[话题]# #荔枝[话题]# #白糖罂[话题]# #白糖罂荔枝[话题]# #海南白糖罂[话题]# #荔枝[话题]# #甜度[话题]#",9,7,9,甜度,是荔枝品种中，甜度高的一个品种。
果子大,白糖罂荔枝,1,"夏天到了，除了要防晒、美容，当然还有尝试各种美食啦！今天我要为大家介绍一款超级适合这个季节的小水果——白糖罂荔枝！这个口感鲜美、可口爽甜的小水果简直是夏天必备呢！????
相信很多小仙女小哥哥们都已经尝过这个水果，但是今天我要介绍的是品种为白糖罂荔枝，相比其他种类，它的特别之处就在于颜色更加明亮，口感更加细腻，果皮全红，果子大，果核适中，果肉厚，汁水足，味道甜，是荔枝品种中，甜度、口感与性价比高的一个品种。每次看到它，我都忍不住要动手尝一口，结果发现真的太好吃了！??
白糖罂荔枝不仅口感棒，而且颜值也非常高哦！它的果实表面布满了犹如珍珠般的细小颗粒，让人看起来就有一种清凉的感觉。而且它的果肉白嫩细腻，汁水充足，让人忍不住想吃上好几个。这样清新美味的小水果，真的让人欲罢不能。????
总之，白糖罂荔枝是夏天必备的小水果，让你爱上这个季节。如果你也喜欢它，千万不要吝啬你的小爱心和转发哦！????#妃子笑荔枝[话题]# #最爱吃的水果[话题]# #荔枝[话题]# #白糖罂[话题]# #白糖罂荔枝[话题]# #海南白糖罂[话题]# #荔枝[话题]# #甜度[话题]#",8,6,8,果实大小,果子大，果核适中，果肉厚。
漂亮,白糖罂荔枝,1,"夏天到了，除了要防晒、美容，当然还有尝试各种美食啦！今天我要为大家介绍一款超级适合这个季节的小水果——白糖罂荔枝！这个口感鲜美、可口爽甜的小水果简直是夏天必备呢！????
相信很多小仙女小哥哥们都已经尝过这个水果，但是今天我要介绍的是品种为白糖罂荔枝，相比其他种类，它的特别之处就在于颜色更加明亮，口感更加细腻，果皮全红，果子大，果核适中，果肉厚，汁水足，味道甜，是荔枝品种中，甜度、口感与性价比高的一个品种。每次看到它，我都忍不住要动手尝一口，结果发现真的太好吃了！??
白糖罂荔枝不仅口感棒，而且颜值也非常高哦！它的果实表面布满了犹如珍珠般的细小颗粒，让人看起来就有一种清凉的感觉。而且它的果肉白嫩细腻，汁水充足，让人忍不住想吃上好几个。这样清新美味的小水果，真的让人欲罢不能。????
总之，白糖罂荔枝是夏天必备的小水果，让你爱上这个季节。如果你也喜欢它，千万不要吝啬你的小爱心和转发哦！????#妃子笑荔枝[话题]# #最爱吃的水果[话题]# #荔枝[话题]# #白糖罂[话题]# #白糖罂荔枝[话题]# #海南白糖罂[话题]# #荔枝[话题]# #甜度[话题]#",7,5,8,颜值,表面布满了珍珠般的细小颗粒，果肉白嫩细腻。
颜色明亮,白糖罂荔枝,1,"夏天到了，除了要防晒、美容，当然还有尝试各种美食啦！今天我要为大家介绍一款超级适合这个季节的小水果——白糖罂荔枝！这个口感鲜美、可口爽甜的小水果简直是夏天必备呢！????
相信很多小仙女小哥哥们都已经尝过这个水果，但是今天我要介绍的是品种为白糖罂荔枝，相比其他种类，它的特别之处就在于颜色更加明亮，口感更加细腻，果皮全红，果子大，果核适中，果肉厚，汁水足，味道甜，是荔枝品种中，甜度、口感与性价比高的一个品种。每次看到它，我都忍不住要动手尝一口，结果发现真的太好吃了！??
白糖罂荔枝不仅口感棒，而且颜值也非常高哦！它的果实表面布满了犹如珍珠般的细小颗粒，让人看起来就有一种清凉的感觉。而且它的果肉白嫩细腻，汁水充足，让人忍不住想吃上好几个。这样清新美味的小水果，真的让人欲罢不能。????
总之，白糖罂荔枝是夏天必备的小水果，让你爱上这个季节。如果你也喜欢它，千万不要吝啬你的小爱心和转发哦！????#妃子笑荔枝[话题]# #最爱吃的水果[话题]# #荔枝[话题]# #白糖罂[话题]# #白糖罂荔枝[话题]# #海南白糖罂[话题]# #荔枝[话题]# #甜度[话题]#",7,5,8,颜值,表面布满了珍珠般的细小颗粒，果肉白嫩细腻。
好吃,白糖罂荔枝,1,"夏天到了，除了要防晒、美容，当然还有尝试各种美食啦！今天我要为大家介绍一款超级适合这个季节的小水果——白糖罂荔枝！这个口感鲜美、可口爽甜的小水果简直是夏天必备呢！????
相信很多小仙女小哥哥们都已经尝过这个水果，但是今天我要介绍的是品种为白糖罂荔枝，相比其他种类，它的特别之处就在于颜色更加明亮，口感更加细腻，果皮全红，果子大，果核适中，果肉厚，汁水足，味道甜，是荔枝品种中，甜度、口感与性价比高的一个品种。每次看到它，我都忍不住要动手尝一口，结果发现真的太好吃了！??
白糖罂荔枝不仅口感棒，而且颜值也非常高哦！它的果实表面布满了犹如珍珠般的细小颗粒，让人看起来就有一种清凉的感觉。而且它的果肉白嫩细腻，汁水充足，让人忍不住想吃上好几个。这样清新美味的小水果，真的让人欲罢不能。????
总之，白糖罂荔枝是夏天必备的小水果，让你爱上这个季节。如果你也喜欢它，千万不要吝啬你的小爱心和转发哦！????#妃子笑荔枝[话题]# #最爱吃的水果[话题]# #荔枝[话题]# #白糖罂[话题]# #白糖罂荔枝[话题]# #海南白糖罂[话题]# #荔枝[话题]# #甜度[话题]#",7,4,8,风味,口感鲜美，可口爽甜。
欲罢不能,白糖罂荔枝,1,"夏天到了，除了要防晒、美容，当然还有尝试各种美食啦！今天我要为大家介绍一款超级适合这个季节的小水果——白糖罂荔枝！这个口感鲜美、可口爽甜的小水果简直是夏天必备呢！????
相信很多小仙女小哥哥们都已经尝过这个水果，但是今天我要介绍的是品种为白糖罂荔枝，相比其他种类，它的特别之处就在于颜色更加明亮，口感更加细腻，果皮全红，果子大，果核适中，果肉厚，汁水足，味道甜，是荔枝品种中，甜度、口感与性价比高的一个品种。每次看到它，我都忍不住要动手尝一口，结果发现真的太好吃了！??
白糖罂荔枝不仅口感棒，而且颜值也非常高哦！它的果实表面布满了犹如珍珠般的细小颗粒，让人看起来就有一种清凉的感觉。而且它的果肉白嫩细腻，汁水充足，让人忍不住想吃上好几个。这样清新美味的小水果，真的让人欲罢不能。????
总之，白糖罂荔枝是夏天必备的小水果，让你爱上这个季节。如果你也喜欢它，千万不要吝啬你的小爱心和转发哦！????#妃子笑荔枝[话题]# #最爱吃的水果[话题]# #荔枝[话题]# #白糖罂[话题]# #白糖罂荔枝[话题]# #海南白糖罂[话题]# #荔枝[话题]# #甜度[话题]#",7,4,8,风味,口感鲜美，可口爽甜。
汁水充足,白糖罂荔枝,1,"夏天到了，除了要防晒、美容，当然还有尝试各种美食啦！今天我要为大家介绍一款超级适合这个季节的小水果——白糖罂荔枝！这个口感鲜美、可口爽甜的小水果简直是夏天必备呢！????
相信很多小仙女小哥哥们都已经尝过这个水果，但是今天我要介绍的是品种为白糖罂荔枝，相比其他种类，它的特别之处就在于颜色更加明亮，口感更加细腻，果皮全红，果子大，果核适中，果肉厚，汁水足，味道甜，是荔枝品种中，甜度、口感与性价比高的一个品种。每次看到它，我都忍不住要动手尝一口，结果发现真的太好吃了！??
白糖罂荔枝不仅口感棒，而且颜值也非常高哦！它的果实表面布满了犹如珍珠般的细小颗粒，让人看起来就有一种清凉的感觉。而且它的果肉白嫩细腻，汁水充足，让人忍不住想吃上好几个。这样清新美味的小水果，真的让人欲罢不能。????
总之，白糖罂荔枝是夏天必备的小水果，让你爱上这个季节。如果你也喜欢它，千万不要吝啬你的小爱心和转发哦！????#妃子笑荔枝[话题]# #最爱吃的水果[话题]# #荔枝[话题]# #白糖罂[话题]# #白糖罂荔枝[话题]# #海南白糖罂[话题]# #荔枝[话题]# #甜度[话题]#",6,3,7,汁水,汁水足。
口感爆棚,白糖罂荔枝,1,"??红红的白糖罂品种，这才是纯甜多汁的荔枝品种！
??懂吃荔枝的宝子们一定要吃哦。
??果肉细腻，多汁味甜，一口爆汁，吃了就停不下来！
而且它是不泡冰水的~
?单看价格它是真的贵，但是它坐飞机的呢，昨天在果园树枝上，明天就到你手上了。尽力保存原汁原味了。
	
#白糖罂荔枝[话题]# #荔枝[话题]# #每日水果[话题]# #大爱水果季[话题]# #美食[话题]# #水果[话题]# #桂味荔枝[话题]# #糯米糍荔枝[话题]#
摘下来就是要泡的，可以延长保存时间
拍下就发吗
不需要买家在额外付邮费吧？
真有网页里的图片上那么好？
发酸的是怎么回事
发香港吗？
拍了，不知道好吃不
啥时候能发货？",9,8,7,甜度,用户对荔枝品种的口感：多汁，细腻。
多汁,白糖罂荔枝,1,"??红红的白糖罂品种，这才是纯甜多汁的荔枝品种！
??懂吃荔枝的宝子们一定要吃哦。
??果肉细腻，多汁味甜，一口爆汁，吃了就停不下来！
而且它是不泡冰水的~
?单看价格它是真的贵，但是它坐飞机的呢，昨天在果园树枝上，明天就到你手上了。尽力保存原汁原味了。
	
#白糖罂荔枝[话题]# #荔枝[话题]# #每日水果[话题]# #大爱水果季[话题]# #美食[话题]# #水果[话题]# #桂味荔枝[话题]# #糯米糍荔枝[话题]#
摘下来就是要泡的，可以延长保存时间
拍下就发吗
不需要买家在额外付邮费吧？
真有网页里的图片上那么好？
发酸的是怎么回事
发香港吗？
拍了，不知道好吃不
啥时候能发货？",9,8,7,甜度,用户对荔枝品种的口感：多汁，细腻。
细腻,白糖罂荔枝,1,"??红红的白糖罂品种，这才是纯甜多汁的荔枝品种！
??懂吃荔枝的宝子们一定要吃哦。
??果肉细腻，多汁味甜，一口爆汁，吃了就停不下来！
而且它是不泡冰水的~
?单看价格它是真的贵，但是它坐飞机的呢，昨天在果园树枝上，明天就到你手上了。尽力保存原汁原味了。
	
#白糖罂荔枝[话题]# #荔枝[话题]# #每日水果[话题]# #大爱水果季[话题]# #美食[话题]# #水果[话题]# #桂味荔枝[话题]# #糯米糍荔枝[话题]#
摘下来就是要泡的，可以延长保存时间
拍下就发吗
不需要买家在额外付邮费吧？
真有网页里的图片上那么好？
发酸的是怎么回事
发香港吗？
拍了，不知道好吃不
啥时候能发货？",9,8,7,甜度,用户对荔枝品种的口感：多汁，细腻。
甜,白糖罂荔枝,1,"??红红的白糖罂品种，这才是纯甜多汁的荔枝品种！
??懂吃荔枝的宝子们一定要吃哦。
??果肉细腻，多汁味甜，一口爆汁，吃了就停不下来！
而且它是不泡冰水的~
?单看价格它是真的贵，但是它坐飞机的呢，昨天在果园树枝上，明天就到你手上了。尽力保存原汁原味了。
	
#白糖罂荔枝[话题]# #荔枝[话题]# #每日水果[话题]# #大爱水果季[话题]# #美食[话题]# #水果[话题]# #桂味荔枝[话题]# #糯米糍荔枝[话题]#
摘下来就是要泡的，可以延长保存时间
拍下就发吗
不需要买家在额外付邮费吧？
真有网页里的图片上那么好？
发酸的是怎么回事
发香港吗？
拍了，不知道好吃不
啥时候能发货？",9,8,7,甜度,用户对荔枝品种的口感：多汁，细腻。
摘下泡,白糖罂荔枝,1,"??红红的白糖罂品种，这才是纯甜多汁的荔枝品种！
??懂吃荔枝的宝子们一定要吃哦。
??果肉细腻，多汁味甜，一口爆汁，吃了就停不下来！
而且它是不泡冰水的~
?单看价格它是真的贵，但是它坐飞机的呢，昨天在果园树枝上，明天就到你手上了。尽力保存原汁原味了。
	
#白糖罂荔枝[话题]# #荔枝[话题]# #每日水果[话题]# #大爱水果季[话题]# #美食[话题]# #水果[话题]# #桂味荔枝[话题]# #糯米糍荔枝[话题]#
摘下来就是要泡的，可以延长保存时间
拍下就发吗
不需要买家在额外付邮费吧？
真有网页里的图片上那么好？
发酸的是怎么回事
发香港吗？
拍了，不知道好吃不
啥时候能发货？",9,7,6,保存,用户关注荔枝的保存时间和方法。
